,rec_num,enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,state,city_development_matrics
0,1,8949,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,36,1.0,CA,9.200000000000001
1,2,29725,city_40,0.7759999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,47,0.0,CA,7.759999999999999
2,3,11561,city_21,0.624,,No relevent experience,Full time course,Graduate,STEM,5,,,never,83,0.0,CA,6.24
3,4,33241,city_115,0.789,,No relevent experience,,Graduate,Business Degree,<1,,Pvt Ltd,never,52,1.0,CA,7.890000000000001
4,5,666,city_162,0.767,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,4,8,0.0,CA,7.67
5,6,21651,city_176,0.764,,Has relevent experience,Part time course,Graduate,STEM,11,,,1,24,1.0,CA,7.640000000000001
6,7,28806,city_160,0.92,Male,Has relevent experience,no_enrollment,High School,,5,50-99,Funded Startup,1,24,0.0,CA,9.200000000000001
7,8,402,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,>4,18,1.0,CA,7.62
8,9,27107,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,46,1.0,CA,9.200000000000001
9,10,699,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,123,0.0,CA,9.200000000000001
10,11,29452,city_21,0.624,,No relevent experience,Full time course,High School,,2,,,never,32,1.0,CA,6.24
11,12,23853,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,1,108,0.0,CA,9.200000000000001
12,13,25619,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23,0.0,CA,9.13
13,14,5826,city_21,0.624,Male,No relevent experience,,,,2,,,never,24,0.0,CA,6.24
14,15,8722,city_21,0.624,,No relevent experience,Full time course,High School,,5,,,never,26,0.0,CA,6.24
15,16,6588,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10/49,Pvt Ltd,>4,18,0.0,CA,9.26
16,17,4167,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,never,106,0.0,CA,9.200000000000001
17,18,5764,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,2,7,0.0,CA,6.24
18,19,2156,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,never,23,1.0,CA,6.24
19,20,11399,city_13,0.8270000000000001,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,,,1,132,1.0,CA,8.270000000000001
20,21,31972,city_159,0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,1,68,0.0,CA,8.43
21,22,19061,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,50,0.0,CA,9.26
22,23,6491,city_102,0.804,,Has relevent experience,no_enrollment,Masters,STEM,10,,,1,48,0.0,CA,8.040000000000001
23,24,7041,city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,<1,1000-4999,Pvt Ltd,1,65,0.0,CA,7.759999999999999
24,25,22767,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1,13,0.0,CA,6.24
25,26,14505,city_67,0.855,,No relevent experience,no_enrollment,High School,,4,,,never,22,0.0,CA,8.55
26,27,17139,city_21,0.624,,Has relevent experience,Part time course,Graduate,STEM,14,500-999,Pvt Ltd,1,148,1.0,CA,6.24
27,28,28476,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,5,,,2,72,0.0,CA,9.200000000000001
28,29,21538,city_100,0.887,Male,Has relevent experience,no_enrollment,High School,,11,<10,Pvt Ltd,1,8,1.0,CA,8.870000000000001
29,30,10408,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,2,68,1.0,CA,6.24
30,31,14928,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,40,0.0,CA,9.200000000000001
31,32,22293,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,141,0.0,CA,9.200000000000001
32,33,4324,city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,5,,,1,24,0.0,CA,9.200000000000001
33,34,26966,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,82,0.0,CA,9.200000000000001
34,35,26494,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145,0.0,CA,9.1
35,36,4866,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Early Stage Startup,2,206,0.0,CA,9.200000000000001
36,37,12726,city_114,0.926,Male,No relevent experience,Part time course,High School,,1,10000+,Other,1,152,0.0,CA,9.26
37,38,10164,city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,4,42,1.0,CA,9.26
38,39,8612,city_103,0.92,,No relevent experience,no_enrollment,Graduate,STEM,12,,,4,50,0.0,CA,9.200000000000001
39,40,24659,city_71,0.884,Male,No relevent experience,no_enrollment,,,3,,,never,106,0.0,CA,8.84
40,41,2547,city_114,0.926,Female,Has relevent experience,Full time course,Masters,STEM,16,1000-4999,Public Sector,2,14,0.0,CA,9.26
41,42,13854,city_104,0.924,Male,Has relevent experience,no_enrollment,High School,,4,10/49,Pvt Ltd,2,36,0.0,CA,9.24
42,43,31654,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,1,112,1.0,CA,6.24
43,44,13643,city_64,0.6659999999999999,,No relevent experience,no_enrollment,Graduate,No Major,9,50-99,Pvt Ltd,never,108,0.0,CA,6.659999999999999
44,45,5590,city_21,0.624,Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,7,1.0,CA,6.24
45,46,22452,city_21,0.624,Female,No relevent experience,Full time course,Masters,STEM,5,,,never,26,1.0,CA,6.24
46,47,9006,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,never,87,1.0,CA,6.24
47,48,25987,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Public Sector,4,52,1.0,CA,9.200000000000001
48,49,4476,city_101,0.5579999999999999,Male,Has relevent experience,no_enrollment,Graduate,No Major,15,,,>4,20,1.0,CA,5.579999999999999
49,50,25103,city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,1,21,0.0,CA,9.23
50,51,5568,city_101,0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,4,,,1,92,1.0,CA,5.579999999999999
51,52,2195,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,2,102,0.0,CA,6.659999999999999
52,53,30533,city_105,0.794,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26,0.0,CA,7.94
53,54,28512,city_104,0.924,,Has relevent experience,no_enrollment,Masters,STEM,3,<10,Early Stage Startup,2,7,0.0,CA,9.24
54,55,1023,city_114,0.926,Male,No relevent experience,Full time course,High School,,4,10000+,Pvt Ltd,1,43,0.0,CA,9.26
55,56,12253,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,45,0.0,CA,9.24
56,57,25296,city_73,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,2,52,0.0,CA,7.54
57,58,13238,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,19,0.0,CA,9.200000000000001
58,59,13478,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,2,10/49,Funded Startup,,32,1.0,CA,6.24
59,60,18578,city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,26,1.0,CA,7.67
60,61,29975,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,,,1,90,0.0,CA,8.55
61,62,26516,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,3,25,0.0,CA,9.389999999999999
62,63,24690,city_41,0.8270000000000001,,Has relevent experience,,Masters,STEM,13,<10,,1,15,0.0,CA,8.270000000000001
63,64,8433,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,>4,48,0.0,CA,8.870000000000001
64,65,9572,city_11,0.55,,No relevent experience,Full time course,High School,,3,,,,98,0.0,CA,5.5
65,66,5878,city_93,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,142,1.0,CA,8.65
66,67,25695,city_67,0.855,Other,No relevent experience,no_enrollment,Masters,Humanities,4,10000+,Pvt Ltd,4,13,0.0,CA,8.55
67,68,9645,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,>4,47,0.0,CA,9.1
68,69,12730,city_16,0.91,Female,Has relevent experience,no_enrollment,Masters,Humanities,14,500-999,Public Sector,1,28,0.0,CA,9.1
69,70,4830,city_90,0.698,,No relevent experience,,,,2,,Pvt Ltd,never,228,1.0,CA,6.9799999999999995
70,71,20970,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,4,22,0.0,CA,6.659999999999999
71,72,17271,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,<1,,,never,18,1.0,CA,6.24
72,73,12731,city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,Pvt Ltd,1,29,0.0,CA,8.270000000000001
73,74,10908,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,,1,46,0.0,CA,8.55
74,75,29117,city_11,0.55,,No relevent experience,Full time course,Graduate,STEM,<1,,,never,12,0.0,CA,5.5
75,76,3686,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,17,0.0,CA,9.200000000000001
76,77,22683,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,65,0.0,CA,8.93
77,78,22134,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,35,0.0,CA,9.200000000000001
78,79,31765,city_67,0.855,Male,No relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,3,14,0.0,CA,8.55
79,80,31449,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,2,<10,Early Stage Startup,1,4,0.0,CA,9.200000000000001
80,81,5987,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,12,0.0,CA,9.200000000000001
81,82,21762,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,108,0.0,CA,9.200000000000001
82,83,22070,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,1,136,0.0,CA,9.200000000000001
83,84,25413,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,,1,27,0.0,CA,9.200000000000001
84,85,5902,city_20,0.7959999999999999,,Has relevent experience,Part time course,Masters,STEM,4,50-99,Funded Startup,1,74,0.0,CA,7.959999999999999
85,86,28403,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10/49,Early Stage Startup,1,86,0.0,CA,8.84
86,87,30937,city_57,0.866,Female,No relevent experience,Part time course,Graduate,STEM,<1,10/49,Pvt Ltd,2,83,0.0,CA,8.66
